alpha urisk trisk pvalue models
5.0 0.0716 11.3216 1.57e-29 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
6.0 0.0427 5.9984 2.06e-09 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
7.0 0.0139 1.7508 0.08 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
8.0 -0.015 -1.7072 0.0878 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
9.0 -0.0438 -4.5715 4.9e-06 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
10.0 -0.0726 -6.9797 3.15e-12 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
0.0 0.1885 69.5834 0.0 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
1.0 0.1561 46.608 0.0 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
2.0 0.1236 30.2655 2.43e-192 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
3.0 0.0911 18.7037 1.03e-76 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
4.0 0.0586 10.3046 9.02e-25 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
5.0 0.0262 4.0065 6.21e-05 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
6.0 -0.0063 -0.857 0.391 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
7.0 -0.0388 -4.71 2.51e-06 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
8.0 -0.0713 -7.8296 5.41e-15 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
9.0 -0.1038 -10.4025 3.28e-25 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
10.0 -0.1362 -12.5583 6.81e-36 lgbm.lrank.1500.63.0.05.0.4.min132min133min134min135Trisk
0.0 0.2151 78.2324 0.0 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
1.0 0.1861 55.6864 0.0 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
2.0 0.1571 39.0228 1.71e-309 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
3.0 0.1282 26.9024 8.41e-154 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
4.0 0.0992 17.9269 1.0e-70 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
5.0 0.0702 11.1054 1.75e-28 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
6.0 0.0412 5.786 7.43e-09 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
7.0 0.0122 1.5413 0.123 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
