alpha,topic,trisk,pvalue
0.0,23371,0.8506,0.395
0.0,23372,0.2702,0.787
0.0,23373,0.2769,0.782
0.0,23374,0.9087,0.364
0.0,23375,-0.6388,0.523
0.0,23376,1.7515,0.0799
0.0,23377,0.6692,0.503
0.0,23378,1.2141,0.225
0.0,23379,0.3099,0.757
0.0,23380,-0.4181,0.676
0.0,23381,0.5606,0.575
0.0,23382,-0.2216,0.825
0.0,23383,-0.0408,0.967
0.0,23384,-0.3963,0.692
0.0,23385,-0.0735,0.941
0.0,23386,0.7416,0.458
0.0,23387,1.1982,0.231
0.0,23388,1.0424,0.297
0.0,23389,0.4787,0.632
0.0,23390,-0.2077,0.835
0.0,23391,-0.7418,0.458
0.0,23392,0.3817,0.703
0.0,23393,0.0,1.0
0.0,23394,0.7036,0.482
0.0,23395,0.1548,0.877
0.0,23396,0.3819,0.703
0.0,23397,1.2875,0.198
0.0,23398,1.8177,0.0692
0.0,23399,1.6428,0.1
0.0,23400,-0.0795,0.937
0.0,23401,-1.4051,0.16
0.0,23402,0.4404,0.66
0.0,23403,-1.1444,0.252
0.0,23404,-0.5236,0.601
0.0,23405,-0.5156,0.606
0.0,23406,0.873,0.383
0.0,23407,0.7346,0.463
0.0,23408,0.0284,0.977
0.0,23409,0.0,1.0
0.0,23410,0.7389,0.46
0.0,23411,-1.411,0.158
0.0,23412,0.0,1.0
0.0,23413,0.3074,0.759
0.0,23414,1.9189,0.055
0.0,23415,0.7579,0.449
0.0,23416,-0.5987,0.549
0.0,23417,-1.2044,0.228
0.0,23418,-0.3794,0.704
0.0,23419,0.1492,0.881
0.0,23420,0.0,1.0
0.0,23421,-0.7073,0.479
0.0,23422,-0.7578,0.449
0.0,23423,0.8931,0.372
0.0,23424,-0.2786,0.781
0.0,23425,-0.2784,0.781
0.0,23426,0.2466,0.805
0.0,23427,0.8661,0.386
0.0,23428,-0.537,0.591
0.0,23429,0.3631,0.717
0.0,23430,-0.4698,0.639
0.0,23431,2.1328,0.033
0.0,23432,0.0,1.0
0.0,23433,2.8442,0.0045
0.0,23434,-0.6238,0.533
0.0,23435,0.5529,0.58
0.0,23436,-0.2513,0.802
0.0,23437,-1.1503,0.25
0.0,23438,0.0,1.0
0.0,23439,0.0,1.0
0.0,23440,0.2954,0.768
0.0,23441,0.6295,0.529
0.0,23442,0.2244,0.822
0.0,23443,0.849,0.396
0.0,23444,0.443,0.658
0.0,23445,-0.784,0.433
0.0,23446,1.267,0.205
0.0,23447,2.7022,0.0069
0.0,23448,1.063,0.288
0.0,23449,1.6895,0.0912
0.0,23450,-1.4258,0.154
0.0,23451,0.0675,0.946
0.0,23452,-0.0364,0.971
0.0,23453,0.0356,0.972
0.0,23454,1.4993,0.134
0.0,23455,-0.6032,0.546
0.0,23456,1.5953,0.111
0.0,23457,-0.1262,0.9
0.0,23458,0.2796,0.78
0.0,23459,1.6075,0.108
0.0,23460,1.3786,0.168
0.0,23461,0.2049,0.838
0.0,23462,-2.5126,0.012
0.0,23463,0.4758,0.634
0.0,23464,-0.4999,0.617
0.0,23465,-0.6907,0.49
0.0,23466,0.2796,0.78
0.0,23467,0.83,0.407
0.0,23468,0.3086,0.758
0.0,23469,1.802,0.0716
0.0,23470,0.2526,0.801
0.0,23471,3.2794,0.0011
0.0,23472,-0.4752,0.635
0.0,23473,0.9952,0.32
0.0,23474,0.5008,0.617
0.0,23475,1.1465,0.252
0.0,23476,0.0819,0.935
0.0,23477,-0.7148,0.475
0.0,23478,1.0538,0.292
0.0,23479,-0.1221,0.903
0.0,23480,-0.8499,0.395
0.0,23481,0.2303,0.818
0.0,23482,2.5742,0.0101
0.0,23483,0.2179,0.828
0.0,23484,0.7945,0.427
0.0,23485,0.6766,0.499
0.0,23486,0.0864,0.931
0.0,23487,1.0567,0.291
0.0,23488,1.2989,0.194
0.0,23489,1.8014,0.0717
0.0,23490,-1.0226,0.307
0.0,23491,0.0734,0.941
0.0,23492,0.3248,0.745
0.0,23493,0.0,1.0
0.0,23494,2.5712,0.0102
0.0,23495,-2.4024,0.0163
0.0,23496,-0.2049,0.838
0.0,23497,0.6491,0.516
0.0,23498,-0.0552,0.956
0.0,23499,-0.7615,0.446
0.0,23500,1.9052,0.0568
0.0,23501,1.1452,0.252
0.0,23502,1.9349,0.053
0.0,23503,0.2944,0.768
0.0,23504,1.3329,0.183
0.0,23505,1.1015,0.271
0.0,23506,0.3288,0.742
0.0,23507,0.3628,0.717
0.0,23508,-0.7713,0.441
0.0,23509,2.0526,0.0401
0.0,23510,-0.7307,0.465
0.0,23511,-0.2889,0.773
0.0,23512,0.509,0.611
0.0,23513,-2.5192,0.0118
0.0,23514,1.2779,0.201
0.0,23515,-0.496,0.62
0.0,23516,1.5417,0.123
0.0,23517,0.8512,0.395
0.0,23518,1.9867,0.047
0.0,23519,-0.3245,0.746
0.0,23520,1.2549,0.21
0.0,23521,-0.476,0.634
0.0,23522,0.9091,0.363
0.0,23523,0.3063,0.759
0.0,23524,-0.0523,0.958
0.0,23525,1.6591,0.0971
0.0,23526,0.0,1.0
0.0,23527,1.3023,0.193
0.0,23528,-0.6639,0.507
0.0,23529,0.8553,0.392
0.0,23530,-0.7211,0.471
0.0,23531,0.3431,0.732
0.0,23532,-1.0121,0.312
0.0,23533,0.1285,0.898
0.0,23534,-0.8106,0.418
0.0,23535,0.0,1.0
0.0,23536,2.3872,0.017
0.0,23537,0.2607,0.794
0.0,23538,0.7579,0.449
0.0,23539,-0.5529,0.58
0.0,23540,-1.8782,0.0604
0.0,23541,0.9529,0.341
0.0,23542,0.6747,0.5
0.0,23543,0.784,0.433
0.0,23544,0.8429,0.399
0.0,23545,0.3519,0.725
0.0,23546,1.7425,0.0815
0.0,23547,1.8178,0.0691
0.0,23548,0.0232,0.981
0.0,23549,2.6171,0.0089
0.0,23550,0.1655,0.869
0.0,23551,-0.3574,0.721
0.0,23552,0.443,0.658
0.0,23553,0.7983,0.425
0.0,23554,0.4842,0.628
0.0,23555,-0.2235,0.823
0.0,23556,0.8616,0.389
0.0,23557,1.7887,0.0737
0.0,23558,0.3175,0.751
0.0,23559,-0.8429,0.399
0.0,23560,1.1033,0.27
0.0,23561,1.0491,0.294
0.0,23562,0.7013,0.483
0.0,23563,2.5642,0.0104
0.0,23564,-0.0559,0.955
0.0,23565,-0.2586,0.796
0.0,23566,0.4256,0.67
0.0,23567,0.8008,0.423
0.0,23568,-1.3355,0.182
0.0,23569,0.6695,0.503
0.0,23570,0.5523,0.581
0.0,23571,0.3817,0.703
0.0,23572,2.1305,0.0332
0.0,23573,3.0039,0.0027
0.0,23574,-0.4956,0.62
0.0,23575,-0.2719,0.786
0.0,23576,0.0,1.0
0.0,23577,-0.5581,0.577
0.0,23578,-0.7579,0.449
0.0,23579,-0.0397,0.968
0.0,23580,-1.0048,0.315
0.0,23581,0.6771,0.498
0.0,23582,-0.2665,0.79
0.0,23583,1.937,0.0528
0.0,23584,0.3808,0.703
0.0,23585,0.3637,0.716
0.0,23586,0.0,1.0
0.0,23587,2.2281,0.0259
0.0,23588,0.0,1.0
0.0,23589,0.406,0.685
0.0,23590,1.661,0.0968
0.0,23591,-0.2199,0.826
0.0,23592,1.5891,0.112
0.0,23593,1.8377,0.0662
0.0,23594,0.4403,0.66
0.0,23595,0.8154,0.415
0.0,23596,0.6625,0.508
0.0,23597,-0.9043,0.366
0.0,23598,1.5157,0.13
0.0,23599,3.2718,0.0011
0.0,23600,-0.247,0.805
0.0,23601,0.4239,0.672
0.0,23602,-0.4562,0.648
0.0,23603,-0.7472,0.455
0.0,23605,1.5129,0.13
0.0,23606,0.4604,0.645
0.0,23607,-0.4351,0.664
0.0,23608,0.0,1.0
0.0,23609,-0.2468,0.805
0.0,23610,0.5733,0.566
0.0,23611,1.8931,0.0584
0.0,23612,0.3557,0.722
0.0,23613,0.6557,0.512
0.0,23614,0.8296,0.407
0.0,23615,0.9091,0.363
0.0,23616,2.219,0.0265
0.0,23617,-0.2013,0.84
0.0,23618,0.5443,0.586
0.0,23619,-1.1016,0.271
0.0,23620,0.1861,0.852
0.0,23621,0.0,1.0
0.0,23622,0.0,1.0
0.0,23623,-0.0735,0.941
0.0,23624,2.2329,0.0256
0.0,23625,1.7584,0.0787
0.0,23627,2.0898,0.0367
0.0,23628,0.09,0.928
0.0,23629,-0.1383,0.89
0.0,23630,0.4781,0.633
0.0,23631,-0.9904,0.322
0.0,23632,0.0219,0.983
0.0,23633,1.4673,0.142
0.0,23634,-0.927,0.354
0.0,23635,3.0658,0.0022
0.0,23636,0.4556,0.649
0.0,23637,0.8337,0.404
0.0,23638,0.0,1.0
0.0,23639,0.9931,0.321
0.0,23640,-0.1802,0.857
0.0,23641,2.2455,0.0248
0.0,23642,-0.3305,0.741
0.0,23643,0.0,1.0
0.0,23644,0.5738,0.566
0.0,23645,0.3523,0.725
0.0,23646,-0.4488,0.654
0.0,23647,0.777,0.437
0.0,23648,0.0975,0.922
0.0,23649,2.3315,0.0198
0.0,23650,-0.1547,0.877
0.0,23651,4.0801,0.0
0.0,23652,0.0,1.0
0.0,23653,0.5459,0.585
0.0,23654,0.0,1.0
0.0,23655,0.6633,0.507
0.0,23656,0.2702,0.787
0.0,23657,0.1797,0.857
0.0,23658,4.5287,0.0
0.0,23659,-0.0323,0.974
0.0,23660,0.5301,0.596
0.0,23661,0.7638,0.445
0.0,23662,-0.1782,0.859
0.0,23663,1.1884,0.235
0.0,23664,0.5904,0.555
0.0,23665,0.1833,0.855
0.0,23666,-0.8043,0.421
0.0,23667,-0.9222,0.356
0.0,23668,-0.3209,0.748
0.0,23669,0.083,0.934
0.0,23670,-1.8647,0.0623
0.0,23671,0.5432,0.587
0.0,23672,0.2282,0.819
0.0,23673,-0.145,0.885
0.0,23674,1.0939,0.274
0.0,23675,0.4486,0.654
0.0,23676,1.1631,0.245
0.0,23677,0.1941,0.846
0.0,23679,0.1499,0.881
0.0,23680,-0.2015,0.84
0.0,23681,0.7793,0.436
0.0,23682,2.3405,0.0193
0.0,23683,-0.8982,0.369
0.0,23684,-0.0662,0.947
0.0,23685,0.1019,0.919
0.0,23686,0.2791,0.78
0.0,23687,0.0,1.0
0.0,23688,2.0119,0.0443
0.0,23689,-0.1387,0.89
0.0,23690,0.7213,0.471
0.0,23691,0.1863,0.852
0.0,23692,0.5545,0.579
0.0,23693,0.9412,0.347
0.0,23694,0.657,0.511
0.0,23695,0.1198,0.905
0.0,23696,0.2097,0.834
0.0,23697,1.8114,0.0701
0.0,23698,0.6684,0.504
0.0,23699,-0.2428,0.808
0.0,23700,0.3665,0.714
0.0,23701,0.8663,0.386
0.0,23702,1.2875,0.198
0.0,23703,0.5947,0.552
0.0,23704,-0.2586,0.796
0.0,23705,0.6935,0.488
0.0,23706,0.413,0.68
0.0,23707,1.5521,0.121
0.0,23708,0.7573,0.449
0.0,23710,-0.6684,0.504
0.0,23711,0.2795,0.78
0.0,23712,1.8883,0.059
0.0,23714,-1.3733,0.17
0.0,23715,0.7113,0.477
0.0,23716,1.9299,0.0537
0.0,23717,0.3091,0.757
0.0,23718,0.0812,0.935
0.0,23719,0.5802,0.562
0.0,23720,0.5052,0.613
0.0,23721,-1.7649,0.0776
0.0,23722,0.9432,0.346
0.0,23723,-0.7172,0.473
0.0,23724,0.0,1.0
0.0,23725,-0.8634,0.388
0.0,23726,0.7234,0.469
0.0,23727,-0.1294,0.897
0.0,23728,2.3099,0.0209
0.0,23729,0.5844,0.559
0.0,23730,-0.2815,0.778
0.0,23731,0.0,1.0
0.0,23732,3.3454,0.0008
0.0,23733,2.2891,0.0221
0.0,23734,0.0318,0.975
0.0,23735,-0.1425,0.887
0.0,23736,0.6032,0.546
0.0,23737,0.8936,0.372
0.0,23738,0.6941,0.488
0.0,23739,2.3543,0.0186
0.0,23740,0.0,1.0
0.0,23741,1.968,0.0491
0.0,23742,0.4945,0.621
0.0,23743,1.9591,0.0501
0.0,23744,-0.9343,0.35
0.0,23745,-1.1036,0.27
0.0,23746,-1.1552,0.248
0.0,23747,-1.7606,0.0784
0.0,23748,-0.3825,0.702
0.0,23749,1.2133,0.225
0.0,23750,1.3236,0.186
0.0,23751,1.3916,0.164
0.0,23752,0.9642,0.335
0.0,23753,0.4563,0.648
0.0,23754,1.3074,0.191
0.0,23755,-0.3342,0.738
0.0,23756,-0.4273,0.669
0.0,23757,0.0956,0.924
0.0,23758,-1.1755,0.24
0.0,23759,-0.4488,0.654
0.0,23760,-0.5397,0.589
0.0,23761,-0.0649,0.948
0.0,23762,-0.7081,0.479
0.0,23763,0.6369,0.524
0.0,23764,-0.299,0.765
0.0,23765,-0.8661,0.386
0.0,23766,0.551,0.582
0.0,23767,0.6358,0.525
0.0,23768,1.0658,0.287
0.0,23769,1.8289,0.0675
0.0,23770,0.3937,0.694
0.0,23771,-0.7394,0.46
0.0,23772,1.8038,0.0713
0.0,23773,1.1459,0.252
0.0,23774,0.7548,0.45
0.0,23775,0.4256,0.67
0.0,23776,0.8628,0.388
0.0,23777,0.106,0.916
0.0,23778,0.5089,0.611
0.0,23779,1.2406,0.215
0.0,23780,1.1402,0.254
0.0,23781,1.4211,0.155
0.0,23782,0.634,0.526
0.0,23783,3.4811,0.0005
0.0,23784,-0.0575,0.954
0.0,23785,-0.148,0.882
0.0,23786,0.5664,0.571
0.0,23787,0.2408,0.81
0.0,23788,1.3233,0.186
0.0,23789,1.0124,0.311
0.0,23790,1.282,0.2
0.0,23791,1.631,0.103
0.0,23792,0.4809,0.631
0.0,23793,-0.0685,0.945
0.0,23794,1.6112,0.107
0.0,23795,0.4062,0.685
0.0,23796,0.4314,0.666
0.0,23797,0.3148,0.753
0.0,23798,0.7985,0.425
0.0,23799,1.3361,0.182
0.0,23800,2.482,0.0131
0.0,23801,-1.0719,0.284
0.0,23802,0.4362,0.663
0.0,23803,0.4984,0.618
0.0,23804,-0.1883,0.851
0.0,23805,1.3216,0.186
0.0,23806,0.0519,0.959
0.0,23807,1.3275,0.184
