alpha,topic,trisk,pvalue
0.0,23313,0.2458,0.806
0.0,23314,0.4689,0.639
0.0,23315,0.4138,0.679
0.0,23316,0.7138,0.475
0.0,23317,2.9534,0.0032
0.0,23318,-1.4866,0.137
0.0,23319,0.2982,0.766
0.0,23320,-0.8582,0.391
0.0,23321,-1.4772,0.14
0.0,23322,0.2206,0.825
0.0,23323,0.6757,0.499
0.0,23324,1.0902,0.276
0.0,23325,0.0,1.0
0.0,23326,0.4804,0.631
0.0,23327,-0.0505,0.96
0.0,23328,0.9913,0.322
0.0,23329,3.3753,0.0007
0.0,23330,1.5457,0.122
0.0,23331,1.6334,0.102
0.0,23332,0.0399,0.968
0.0,23333,-1.1809,0.238
0.0,23334,-2.3771,0.0175
0.0,23335,-0.2281,0.82
0.0,23336,0.3296,0.742
0.0,23337,0.7533,0.451
0.0,23338,0.1423,0.887
0.0,23339,0.1974,0.844
0.0,23340,0.9778,0.328
0.0,23341,0.2581,0.796
0.0,23342,1.3308,0.183
0.0,23343,0.7281,0.467
0.0,23344,1.2566,0.209
0.0,23345,1.3084,0.191
0.0,23346,0.2592,0.795
0.0,23347,2.7597,0.0058
0.0,23348,-0.2538,0.8
0.0,23349,0.5571,0.577
0.0,23350,1.3285,0.184
0.0,23351,0.5348,0.593
0.0,23352,-0.0469,0.963
0.0,23353,-0.8605,0.39
0.0,23354,-0.2006,0.841
0.0,23355,0.5375,0.591
0.0,23356,-0.6672,0.505
0.0,23357,0.4054,0.685
0.0,23358,2.7681,0.0056
0.0,23359,0.4675,0.64
0.0,23360,2.6578,0.0079
0.0,23361,0.0757,0.94
0.0,23362,1.4886,0.137
0.0,23363,1.5982,0.11
0.0,23364,0.3479,0.728
0.0,23365,0.2069,0.836
0.0,23366,0.0,1.0
0.0,23367,1.0852,0.278
0.0,23368,1.6686,0.0952
0.0,23369,-0.4108,0.681
0.0,23370,1.9721,0.0486
0.0,23371,0.0279,0.978
0.0,23372,0.347,0.729
0.0,23373,0.5407,0.589
0.0,23374,1.373,0.17
0.0,23375,-0.0656,0.948
0.0,23376,1.7685,0.077
0.0,23377,0.1373,0.891
0.0,23378,0.4043,0.686
0.0,23379,0.3129,0.754
0.0,23380,-0.4221,0.673
0.0,23381,0.8986,0.369
0.0,23382,-1.589,0.112
0.0,23383,-0.6336,0.526
0.0,23384,-0.9011,0.368
0.0,23385,-0.0742,0.941
0.0,23386,0.9419,0.346
0.0,23387,1.0888,0.276
0.0,23388,0.3827,0.702
0.0,23389,0.4444,0.657
0.0,23390,-0.0973,0.922
0.0,23391,-1.8634,0.0624
0.0,23392,0.0872,0.931
0.0,23393,0.0,1.0
0.0,23394,0.7105,0.477
0.0,23395,0.1563,0.876
0.0,23396,0.0408,0.967
0.0,23397,1.4211,0.155
0.0,23398,1.388,0.165
0.0,23399,0.7218,0.47
0.0,23400,-0.0803,0.936
0.0,23401,-1.3914,0.164
0.0,23402,0.1465,0.884
0.0,23403,-0.9486,0.343
0.0,23404,-0.1717,0.864
0.0,23405,1.0968,0.273
0.0,23406,1.517,0.129
0.0,23407,0.5348,0.593
0.0,23408,-0.7534,0.451
0.0,23409,0.0,1.0
0.0,23410,0.0231,0.982
0.0,23411,-1.5423,0.123
0.0,23412,-0.3657,0.715
0.0,23413,-0.3572,0.721
0.0,23414,2.0978,0.036
0.0,23415,0.7652,0.444
0.0,23416,-0.9421,0.346
0.0,23417,-1.4262,0.154
0.0,23418,-0.3948,0.693
0.0,23419,-0.4927,0.622
0.0,23420,0.0,1.0
0.0,23421,-0.5571,0.577
0.0,23422,-0.8957,0.37
0.0,23423,0.9879,0.323
0.0,23424,-0.2813,0.778
0.0,23425,-0.7652,0.444
0.0,23426,0.7646,0.445
0.0,23427,0.9487,0.343
0.0,23428,-0.1721,0.863
0.0,23429,0.0432,0.966
0.0,23430,-0.4743,0.635
0.0,23431,1.673,0.0944
0.0,23432,-0.2414,0.809
0.0,23433,1.1507,0.25
0.0,23434,-0.7613,0.447
0.0,23435,-0.1112,0.911
0.0,23436,-0.2538,0.8
0.0,23437,-0.8494,0.396
0.0,23438,-0.0742,0.941
0.0,23439,0.0,1.0
0.0,23440,0.0,1.0
0.0,23441,0.6356,0.525
0.0,23442,0.6189,0.536
0.0,23443,0.2828,0.777
0.0,23444,0.4473,0.655
0.0,23445,-0.7916,0.429
0.0,23446,1.2466,0.213
0.0,23447,2.7284,0.0064
0.0,23448,1.0279,0.304
0.0,23449,1.5178,0.129
0.0,23450,-1.3623,0.173
0.0,23451,-0.1574,0.875
0.0,23452,0.0,1.0
0.0,23453,0.0359,0.971
0.0,23454,1.5138,0.13
0.0,23455,-0.609,0.543
0.0,23456,1.6108,0.107
0.0,23457,0.1974,0.844
0.0,23458,0.0,1.0
0.0,23459,1.8646,0.0623
0.0,23460,1.3919,0.164
0.0,23461,0.0,1.0
0.0,23462,-1.1256,0.26
0.0,23463,0.4315,0.666
0.0,23464,0.0948,0.924
0.0,23465,-0.6974,0.486
0.0,23466,0.2823,0.778
0.0,23467,0.4177,0.676
0.0,23468,0.5383,0.59
0.0,23469,1.0223,0.307
0.0,23470,0.4965,0.62
0.0,23471,-0.6881,0.491
0.0,23472,-0.321,0.748
0.0,23473,0.806,0.42
0.0,23474,0.7882,0.431
0.0,23475,2.2244,0.0262
0.0,23476,0.77,0.441
0.0,23477,0.3947,0.693
0.0,23478,0.476,0.634
0.0,23479,-0.1232,0.902
0.0,23480,-0.8047,0.421
0.0,23481,0.4138,0.679
0.0,23482,2.55,0.0108
0.0,23483,-0.2668,0.79
0.0,23484,0.8022,0.422
0.0,23485,1.1437,0.253
0.0,23486,0.0873,0.93
0.0,23487,0.9725,0.331
0.0,23488,1.2822,0.2
0.0,23489,1.3914,0.164
0.0,23490,-0.609,0.543
0.0,23491,-0.6207,0.535
0.0,23492,0.2167,0.828
0.0,23493,0.0,1.0
0.0,23494,2.9628,0.0031
0.0,23495,-0.3918,0.695
0.0,23496,0.0326,0.974
0.0,23497,0.6469,0.518
0.0,23498,0.3231,0.747
0.0,23499,-0.983,0.326
0.0,23500,2.3436,0.0191
0.0,23501,1.1563,0.248
0.0,23502,1.9537,0.0508
0.0,23503,0.4234,0.672
0.0,23504,1.5065,0.132
0.0,23505,0.9052,0.365
0.0,23506,0.2729,0.785
0.0,23507,0.9124,0.362
0.0,23508,0.0,1.0
0.0,23509,2.6191,0.0088
0.0,23510,-1.604,0.109
0.0,23511,0.376,0.707
0.0,23512,0.514,0.607
0.0,23513,-2.3129,0.0208
0.0,23514,1.038,0.299
0.0,23515,-0.4642,0.643
0.0,23516,1.3967,0.163
0.0,23517,0.0,1.0
0.0,23518,3.002,0.0027
0.0,23519,-0.3277,0.743
0.0,23520,1.4772,0.14
0.0,23521,0.3256,0.745
0.0,23522,0.241,0.81
0.0,23523,-0.1075,0.914
0.0,23524,-1.3635,0.173
0.0,23525,0.5447,0.586
0.0,23526,0.0,1.0
0.0,23527,0.7259,0.468
0.0,23528,-0.4361,0.663
0.0,23529,1.1869,0.235
0.0,23530,-0.013,0.99
0.0,23531,0.3464,0.729
0.0,23532,-1.2015,0.23
0.0,23533,-2.4663,0.0137
0.0,23534,-1.1166,0.264
0.0,23535,0.0,1.0
0.0,23536,1.6543,0.0981
0.0,23537,0.299,0.765
0.0,23538,1.4919,0.136
0.0,23539,-0.392,0.695
