alpha,topic,trisk,pvalue
0.0,23349,0.6901,0.49
0.0,23350,1.8679,0.0618
0.0,23351,0.5286,0.597
0.0,23352,0.0,1.0
0.0,23353,-0.8504,0.395
0.0,23354,-0.1384,0.89
0.0,23355,0.4771,0.633
0.0,23356,0.2571,0.797
0.0,23357,0.4392,0.661
0.0,23358,1.9118,0.0559
0.0,23359,2.078,0.0377
0.0,23360,2.6266,0.0086
0.0,23361,0.0748,0.94
0.0,23362,1.4595,0.144
0.0,23363,1.9195,0.055
0.0,23364,0.5232,0.601
0.0,23365,-0.0733,0.942
0.0,23366,0.0,1.0
0.0,23367,1.0724,0.284
0.0,23368,1.5385,0.124
0.0,23369,-0.8928,0.372
0.0,23370,2.6468,0.0081
0.0,23371,0.8052,0.421
0.0,23372,0.2696,0.787
0.0,23373,0.5343,0.593
0.0,23374,1.1453,0.252
0.0,23375,-0.8049,0.421
0.0,23376,2.2151,0.0268
0.0,23377,-0.5228,0.601
0.0,23378,0.0,1.0
0.0,23379,-0.2114,0.833
0.0,23380,-0.378,0.705
0.0,23381,0.9841,0.325
0.0,23382,-1.6668,0.0956
0.0,23383,-0.0973,0.922
0.0,23384,-0.6629,0.507
0.0,23385,-0.0733,0.942
0.0,23386,1.3557,0.175
0.0,23387,1.1492,0.251
0.0,23388,0.9546,0.34
0.0,23389,0.4777,0.633
0.0,23390,0.642,0.521
0.0,23391,-0.7402,0.459
0.0,23392,0.0862,0.931
0.0,23393,0.0,1.0
0.0,23394,0.6166,0.538
0.0,23395,0.1545,0.877
0.0,23396,0.6147,0.539
0.0,23397,1.5428,0.123
0.0,23398,1.3717,0.17
0.0,23399,1.0508,0.293
0.0,23400,-0.8968,0.37
0.0,23401,-1.6406,0.101
0.0,23402,0.1448,0.885
0.0,23403,-0.9375,0.349
0.0,23404,-0.7818,0.434
0.0,23405,0.4307,0.667
0.0,23406,1.4992,0.134
0.0,23407,0.733,0.464
0.0,23408,0.0284,0.977
0.0,23409,0.0,1.0
0.0,23410,-0.2019,0.84
0.0,23411,-1.5848,0.113
0.0,23412,-0.3614,0.718
0.0,23413,0.3068,0.759
0.0,23414,1.8146,0.0696
0.0,23415,0.7562,0.45
0.0,23416,-0.5974,0.55
0.0,23417,-1.4094,0.159
0.0,23418,-0.3902,0.696
0.0,23419,0.2736,0.784
0.0,23420,0.0,1.0
0.0,23421,-0.5505,0.582
0.0,23422,-0.816,0.415
0.0,23423,0.1395,0.889
0.0,23424,0.1641,0.87
0.0,23425,-0.3473,0.728
0.0,23426,0.8084,0.419
0.0,23427,0.409,0.683
0.0,23428,-0.5359,0.592
0.0,23429,-0.5579,0.577
0.0,23430,-0.4688,0.639
0.0,23431,2.1282,0.0334
0.0,23432,0.4588,0.646
0.0,23433,2.9689,0.003
0.0,23434,0.065,0.948
0.0,23435,0.2276,0.82
0.0,23436,-0.2508,0.802
0.0,23437,-0.9203,0.357
0.0,23438,-0.0733,0.942
0.0,23439,0.0,1.0
0.0,23440,0.2948,0.768
0.0,23441,0.6281,0.53
0.0,23442,0.224,0.823
0.0,23443,0.5414,0.588
0.0,23444,0.4421,0.658
0.0,23445,-0.7823,0.434
0.0,23446,1.2115,0.226
0.0,23447,2.6964,0.007
0.0,23448,1.0158,0.31
0.0,23449,1.6859,0.0919
0.0,23450,-1.3343,0.182
0.0,23451,-0.1272,0.899
0.0,23452,0.0,1.0
0.0,23453,0.157,0.875
0.0,23454,1.496,0.135
0.0,23455,-1.0109,0.312
0.0,23456,1.5517,0.121
0.0,23457,0.2643,0.792
0.0,23458,0.0284,0.977
0.0,23459,1.4156,0.157
0.0,23460,1.3756,0.169
0.0,23461,0.0,1.0
0.0,23462,-2.6895,0.0072
0.0,23463,0.9012,0.368
0.0,23464,-0.4988,0.618
0.0,23465,-0.6892,0.491
0.0,23466,0.2789,0.78
0.0,23467,0.4128,0.68
0.0,23468,0.5319,0.595
0.0,23469,1.7981,0.0722
0.0,23470,0.5604,0.575
0.0,23471,0.0885,0.929
0.0,23472,-0.3172,0.751
0.0,23473,0.9931,0.321
0.0,23474,-0.0856,0.932
0.0,23475,0.7347,0.463
0.0,23476,0.6025,0.547
0.0,23477,-0.1847,0.853
0.0,23478,0.9632,0.335
0.0,23479,0.3174,0.751
0.0,23480,-0.1918,0.848
0.0,23481,0.4089,0.683
0.0,23482,2.8504,0.0044
0.0,23483,-0.1103,0.912
0.0,23484,0.7928,0.428
0.0,23485,1.2918,0.196
0.0,23486,0.0862,0.931
0.0,23487,0.8769,0.381
0.0,23488,0.2334,0.815
0.0,23489,1.6394,0.101
0.0,23490,-0.6482,0.517
0.0,23491,-0.5402,0.589
0.0,23492,0.667,0.505
0.0,23493,2.149,0.0317
0.0,23494,3.4906,0.0005
0.0,23495,-0.8136,0.416
0.0,23496,0.137,0.891
0.0,23497,0.6393,0.523
0.0,23498,-0.1384,0.89
0.0,23499,-1.1672,0.243
0.0,23500,1.8301,0.0673
0.0,23501,0.9813,0.326
0.0,23502,1.9307,0.0536
0.0,23503,0.2937,0.769
0.0,23504,1.5353,0.125
0.0,23505,0.8214,0.411
0.0,23506,0.2697,0.787
0.0,23507,1.1047,0.269
0.0,23508,-0.7696,0.442
0.0,23509,2.2527,0.0243
0.0,23510,-1.2065,0.228
0.0,23511,0.2045,0.838
0.0,23512,0.5079,0.612
0.0,23513,-2.5138,0.012
0.0,23514,1.3872,0.165
0.0,23515,-0.4949,0.621
0.0,23516,1.3803,0.168
0.0,23517,0.5547,0.579
0.0,23518,1.9824,0.0475
0.0,23519,-0.3238,0.746
0.0,23520,1.0246,0.306
0.0,23521,-0.4749,0.635
0.0,23522,0.4887,0.625
0.0,23523,0.3057,0.76
0.0,23524,-0.9002,0.368
0.0,23525,1.1987,0.231
0.0,23526,-0.5679,0.57
0.0,23527,1.2995,0.194
0.0,23528,-0.6876,0.492
0.0,23529,0.8534,0.393
0.0,23530,-0.3986,0.69
0.0,23531,0.3757,0.707
0.0,23532,-1.0099,0.313
0.0,23533,-1.0389,0.299
0.0,23534,-0.4807,0.631
0.0,23535,0.0,1.0
0.0,23536,2.0894,0.0367
0.0,23537,0.2955,0.768
0.0,23538,0.5101,0.61
0.0,23539,0.4246,0.671
0.0,23540,-2.3489,0.0189
0.0,23541,0.2045,0.838
0.0,23542,0.6732,0.501
0.0,23543,0.5078,0.612
0.0,23544,0.8874,0.375
0.0,23545,1.1515,0.25
0.0,23546,2.4539,0.0142
0.0,23547,1.7141,0.0866
0.0,23548,0.6366,0.524
0.0,23549,2.5652,0.0103
0.0,23550,0.1127,0.91
0.0,23551,-0.2643,0.792
0.0,23552,0.4922,0.623
0.0,23553,0.2462,0.806
0.0,23554,0.7779,0.437
0.0,23555,-0.223,0.824
0.0,23556,0.8597,0.39
0.0,23557,-0.1036,0.917
0.0,23558,-0.2674,0.789
0.0,23559,-0.841,0.4
0.0,23560,0.3988,0.69
0.0,23561,1.2826,0.2
0.0,23562,1.0362,0.3
0.0,23563,1.3603,0.174
0.0,23564,0.0,1.0
0.0,23565,-0.2581,0.796
0.0,23566,0.3874,0.698
0.0,23567,0.4089,0.683
0.0,23568,-1.3327,0.183
0.0,23569,1.1354,0.256
0.0,23570,0.5511,0.582
0.0,23571,0.3809,0.703
0.0,23572,1.8513,0.0642
0.0,23573,2.4619,0.0138
0.0,23574,-0.4945,0.621
0.0,23575,-0.3686,0.712
0.0,23576,0.0,1.0
0.0,23577,-0.8212,0.412
